id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,occupancy_rate,estimated_monthly_revenue
1172503456116141956,1BR Apartment Mins from Gaylord Opryland,6855810,District 15,36.1712875,-86.6808057,Entire home/apt,115.0,1,27,2.15,173,0.07166666666666667,118.81736111111111
1172512874074892203,Swiftie Sanctuary – Live Your Era at The Lodge!,6855810,District 15,36.1712875,-86.6808057,Entire home/apt,132.0,1,29,2.45,152,0.08166666666666668,136.54666666666668
1172517673627252635,Two Townhomes | Rooftop Lounges + Skyline Views,101426897,District 21,36.14483,-86.8174,Entire home/apt,,2,13,1.3,308,0.043333333333333335,
1172518381737885445,Walk the Line in Luxury! Apt Mins From Downtown,6855810,District 15,36.17129,-86.68081,Entire home/apt,131.0,1,51,4.07,132,0.13566666666666669,195.4956666666667
1172525223021452761,1BR Mins from Gaylord/Opryland - Private Balcony,6855810,District 15,36.1712875,-86.6808057,Entire home/apt,117.0,1,19,1.52,176,0.050666666666666665,86.944
1172529853681445638,Nashville Nights Nook: Your Music City Getaway,6855810,District 15,36.17129,-86.68081,Entire home/apt,147.0,1,20,1.66,165,0.05533333333333333,111.8425
1172572281498766674,Cozy Nashville Studio Suite,581753038,District 26,36.0750127151711,-86.73708166927099,Entire home/apt,99.0,1,57,5.66,336,0.18866666666666668,522.984
1172595080379676306,Chart Topping One Bedroom Apartment,6855810,District 15,36.1712875,-86.6808057,Entire home/apt,114.0,1,24,1.99,165,0.06633333333333333,103.97749999999999
1172611774701144204,1BR Mins from Gaylord Convention Center/Downtown!,6855810,District 15,36.17129,-86.68081,Entire home/apt,104.0,1,16,1.35,175,0.045000000000000005,68.25000000000001
1172615733069473092,Close to Broadway Nashville Rental *Free Parking*,581767378,District 19,36.1548886,-86.77541389999999,Entire home/apt,,1,50,4.14,19,0.13799999999999998,
1172765512562514991,Luxurious Glam Shell -  10 mins to Grand Ole Opry,224824154,District 8,36.26046,-86.71396,Entire home/apt,117.0,2,38,3.43,134,0.11433333333333334,149.37650000000002
1172846359413906094,"Bougie Squirrel,  Glam Pad Free parking",45101594,District 17,36.1185065,-86.75257429999999,Entire home/apt,,2,13,1.1,349,0.03666666666666667,
1173086428522778160,Music City's Classic Getaway,581875948,District 19,36.15602,-86.77597,Entire home/apt,198.0,1,60,4.8,295,0.16,778.8000000000001
1173135829783960299,McAlpine Hideaway,57798216,District 7,36.21342,-86.71342,Entire home/apt,79.0,1,38,3.28,352,0.10933333333333332,253.36177777777772
1173156494641581894,West End Lux Condo 5mins to Broadway!,154308525,District 21,36.1470408,-86.81662759999999,Entire home/apt,152.0,2,22,2.74,285,0.09133333333333334,329.71333333333337
1173177304674540708,Nashville's Stylish & Cozy Oasis.,405796550,District 19,36.1537726,-86.77526069999999,Entire home/apt,,2,37,3.32,325,0.11066666666666666,
1173259684081292723,Above Nashville Magnificent I Pool&Spa | 12 South,210733801,District 18,36.125335693359375,-86.79594421386719,Entire home/apt,,1,2,0.27,351,0.009000000000000001,
1173262798478763301,Free Night* I Above Nashville Starburst Estate | P,210733801,District 23,36.13056945800781,-86.88733673095703,Entire home/apt,2087.0,1,0,,275,0.5,23913.541666666668
1173498173245175767,Two Townhomes | Blue Suede Dreams & Urban Oasis,101426897,District 17,36.14555,-86.78647,Entire home/apt,,2,4,0.56,301,0.018666666666666668,
1173913198291971350,Cowboy Carter-5 min walk to BWAY with POOL & GYM,570401730,District 19,36.15348,-86.77434,Entire home/apt,,1,42,3.48,359,0.116,
1173952164521782879,New! Flats on Acklen w/Parking near Vandy/DTWN,7073590,District 24,36.1430782,-86.8254642,Entire home/apt,130.0,1,46,4.22,360,0.14066666666666666,548.6
1173987322345011940,3minAirport | 10minDowntown | FreeParking 3Bd2.5Ba,144570905,District 28,36.08363,-86.65975,Entire home/apt,209.0,30,8,0.66,255,0.022000000000000002,97.70750000000001
1174026417170859889,Huge Chic +1bdrm House | Park Free | King Bed,579393806,District 17,36.14001,-86.79534,Entire home/apt,,1,37,3.04,0,0.10133333333333333,
1174042439483907537,Two Townhomes | Enjoy the Hot tub and City Views!,101426897,District 19,36.14727,-86.78459,Entire home/apt,705.0,2,9,0.97,291,0.03233333333333333,552.77875
1174050359862187063,Tailgater's Dream! Rooftop w/ TV + Fire + Lights,212523030,District 2,36.20442,-86.81208,Entire home/apt,230.0,1,32,2.65,347,0.08833333333333333,587.4902777777778
1175296686710208639,Family friendly home with pool,32509482,District 24,36.143,-86.83805,Entire home/apt,,3,0,,22,0.5,
1175386130911872158,I dream of Turkey,557488260,District 14,36.1531860187976,-86.63862112909555,Private room,42.0,30,1,0.28,333,0.009333333333333334,10.878
1175524394009585983,River Waterfront 15min Downtown! Guest House Suite,6297727,District 20,36.1404401,-86.89267410000001,Entire home/apt,159.0,1,81,6.59,304,0.21966666666666665,884.8173333333333
1176065878676361201,"Tequila Sunrise- Walk To Broadway, Pool&Gym",425884247,District 19,36.15149,-86.77817,Entire home/apt,305.0,1,24,1.95,290,0.065,479.10416666666674
1176145913644231509,"Rare Find! Pets Allowed, Kitchenette, Pool!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,304,0.5,
1176146090135058918,"Urban Oasis! Kitchenette, Pool, Pets Allowed!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,304,0.5,
1176146244275420252,"Cityscape Dreams Suite! Indoor Pool, Kitchenette!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,286,0.5,
1176146323824338791,"Modern City Haven! Indoor Pool, Kitchenette!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,286,0.5,
1176146586794884509,"Modern Escape! Panoramic Views, Indoor Pool!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,302,0.5,
1176146649616557569,"Nashville Skyline Views! Indoor Pool, Pet-friendly",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,302,0.5,
1176146781487737714,Luxury Nashville Haven! Indoor Pool!,495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,300,0.5,
1176146884933899859,"Nashville Urban Retreat! Pool, Pets Allowed!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,300,0.5,
1176146975223854770,"Relax and Unwind! Pets Allowed, Indoor Pool!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,291,0.5,
1176147047519938624,"Urban Retreat! Indoor Pool, Pets Allowed!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,291,0.5,
1176147222954042229,"Nashville Urban Oasis! Pets Allowed, Indoor Pool!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,288,0.5,
1176147451734477525,"Nashville's Finest! Swimming Pool, Kitchenette!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,1,0.09,272,0.003,
1176147581892494420,"Nashville Neon Nights! Kitchenette, Indoor Pool!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,284,0.5,
1176147637890496404,"The Nashville Vibes! Indoor Pool, Kitchenette!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,284,0.5,
1176147774317993154,"City Lights Hideaway! Indoor Pool, Kitchenette!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,0,,275,0.5,
1176147836910110446,"Nashville Oasis! Kitchenette, Indoor Pool!",495439016,District 19,36.15744,-86.7804,Hotel room,,1,1,0.1,275,0.0033333333333333335,
1176270222035514734,Hyve - Printers Alley -Walk To Broadway- Full Gym!,20772148,District 19,36.15211,-86.77716,Entire home/apt,628.0,1,27,2.28,4,0.076,15.90933333333333
1176367594708860395,Guestroom-close to downtown,54666102,District 6,36.16421,-86.74919,Private room,81.0,1,1,0.09,269,0.003,5.44725
1176381550797827291,Nash Lux home hottub/10beds/rooftop/gameroom,582772236,District 2,36.19326205513099,-86.77900252698362,Entire home/apt,485.0,2,37,3.48,308,0.116,1444.006666666667
1176780121804664154,Cute and cozy Inglewood cottage,47025114,District 7,36.21518,-86.71005,Entire home/apt,200.0,30,0,,269,0.5,2241.666666666667
1176786452187134689,Downtown Loft in WeHo!,333035767,District 17,36.1435,-86.76269,Entire home/apt,172.0,3,3,0.88,365,0.029333333333333333,153.46222222222224
1176861455459737563,Probably On Broadway,262326385,District 16,36.12555,-86.72532,Entire home/apt,92.0,1,43,3.86,306,0.12866666666666665,301.852
1176865015215845522,"Patio, Fire Pit, Garage Walk to Belmont, 12 South",416033925,District 17,36.1354605,-86.7866518,Entire home/apt,273.0,1,35,2.84,345,0.09466666666666666,743.015
1176919272615493664,"Great Nashville Studio - Close to Everything, Pool",17017751,District 21,36.15187,-86.79954,Entire home/apt,84.0,30,2,0.35,142,0.011666666666666665,11.596666666666666
1176927765387410076,Cozy Studio in the Heart of East Nashville,12294213,District 7,36.18887,-86.71893,Entire home/apt,,1,25,2.12,202,0.07066666666666667,
1176931830342325237,"Patio FirePit Garage -Walk to Coffee, Restaurants",416033925,District 17,36.1354605,-86.7866518,Entire home/apt,291.0,1,66,5.79,238,0.193,1113.8995
1176994270221619055,Lyric Loft - Great Location - Mins to Broadway,20772148,District 19,36.14914,-86.79388,Entire home/apt,135.0,1,17,1.41,305,0.047,161.26875
1177447800275775674,Stylish and Cozy Eastside Haven,9602891,District 2,36.227743,-86.7653799,Entire home/apt,79.0,30,7,0.8,234,0.02666666666666667,41.080000000000005
1177518545013904687,Private Suite in Historic East Nashville Cottage,8727042,District 5,36.18851747991866,-86.76883695605405,Entire home/apt,138.0,1,95,12.84,294,0.428,1447.068
1177575502253507526,Nashville Looks Good On You,262326385,District 16,36.12572,-86.72513,Entire home/apt,89.0,1,45,3.87,305,0.129,291.80875000000003
1177610478092609253,"7 mins to Broadway! Sleeps 4, 2 beds!",407199764,District 16,36.12619,-86.72562,Entire home/apt,190.0,1,14,1.18,314,0.03933333333333333,195.5522222222222
1177611981231398242,+New Home+ *2 Miles From Broadway* 13+ Beds,43800255,District 17,36.1284831,-86.7528612,Entire home/apt,278.0,2,19,1.86,328,0.062000000000000006,471.11733333333336
1177640495552958278,Modern Loft Near West End!,388056808,District 21,36.14598,-86.81504,Entire home/apt,79.0,1,19,1.82,345,0.06066666666666667,137.78916666666666
1177801609575293914,Sprawling Nashville Estate - Sleeps 16!,335977682,District 20,36.16156,-86.85915,Entire home/apt,154.0,2,28,2.31,283,0.077,279.65116666666665
1178330747347454784,Beautiful 2 bedroom apartment.,319169586,District 14,36.1623016,-86.6309641,Private room,77.0,1,1,0.08,364,0.0026666666666666666,6.228444444444444
1178346595389365259,"Luxury Apt, Min to DT; Gym, Pool. City Views!",187658556,District 21,36.15812,-86.80628,Entire home/apt,100.0,29,1,0.1,356,0.0033333333333333335,9.888888888888891
1178421058805662809,Neon Nest: One Bedroom Nashville Getaway,6855810,District 15,36.17129,-86.68081,Entire home/apt,107.0,1,22,1.99,145,0.06633333333333333,85.76347222222222
1178434443794558127,Music City Themed 1 BR Brand New Apartment,6855810,District 15,36.1712875,-86.6808057,Entire home/apt,118.0,1,42,3.51,124,0.11699999999999999,142.662
1178448510542231600,Golden Arches Getaway: McDonald's-Inspired Retreat,6855810,District 15,36.1711557,-86.679952,Entire home/apt,121.0,1,25,2.11,151,0.07033333333333333,107.08836111111111
1178459375258993016,"Dolly's Retreat ~ Near Opry, Airport and Downtown",6855810,District 15,36.1712875,-86.6808057,Entire home/apt,140.0,1,27,2.24,136,0.07466666666666667,118.47111111111113
1178485713957799014,"Broadway Girls w Pool&Gym, Walkable to Downtown",425884247,District 19,36.15149,-86.77817,Entire home/apt,325.0,1,18,1.5,278,0.05,376.45833333333337
1178487207002449956,Brand New studio condo/Free parking,138751629,District 16,36.12666,-86.72483,Entire home/apt,107.0,1,22,2.08,254,0.06933333333333333,157.02844444444446
1178959296736048271,The Lasso Condo | 9 min Lyft to Broadway!,159532184,District 20,36.1648298,-86.8536983,Entire home/apt,139.0,2,44,3.95,321,0.13166666666666668,489.5695833333334
1179030127948564589,LUXE-Elevate-Modern Luxury-Stunning City Views,20772148,District 17,36.1387,-86.78383,Entire home/apt,355.0,1,10,0.91,182,0.030333333333333334,163.3197222222222
1179231767563036611,E Nash House - 5mi from Broadway - Chef's Kitchen,501554574,District 6,36.1868671,-86.70844699999999,Entire home/apt,200.0,1,23,1.9,354,0.06333333333333332,373.66666666666663
1179583577938191540,Nashville Poolside Condo!,249625914,District 17,36.1265182377606,-86.77801857114275,Entire home/apt,125.0,1,48,4.08,218,0.136,308.83333333333337
1179607260756172646,6bed3bath~14mins to Broadway~Onsite gym/balcony,583619399,District 7,36.23199,-86.72457,Entire home/apt,99.0,3,29,3.06,337,0.10200000000000001,283.5855
1179650605370458198,Modern 3 story with Rooftop close to Broadway,583631761,District 2,36.19849,-86.78187,Entire home/apt,,2,0,,365,0.5,
1179684046322610525,"Modern upto 16 bedrooms, upto 48 guests Downtown",583631761,District 2,36.19748,-86.78167,Entire home/apt,,1,0,,269,0.5,
1179818380589607752,Charming Downtown Oasis- 2.5 blocks to Broadway!,16325349,District 19,36.1548886,-86.77541389999999,Entire home/apt,146.0,1,50,4.23,315,0.14100000000000001,540.3825
1179974269949489375,Priest Lake Home near airport / 27 min to Broadway,466629707,District 29,36.09921,-86.60342,Entire home/apt,271.0,2,12,1.01,96,0.033666666666666664,72.98933333333333
1181095796850199916,Private Guesthouse in 12 South near Belmont,17464573,District 17,36.13217,-86.78214,Entire home/apt,175.0,1,30,2.74,247,0.09133333333333334,328.99027777777775
1181136658607659755,The Nations Nest - Historic Charmer - Backyard!,440360756,District 20,36.15872,-86.85096,Entire home/apt,114.0,1,43,3.94,249,0.13133333333333333,310.669
1181166029143001780,"Modern, cozy craftsman, 1 mile from downtown",5333926,District 5,36.17995459999999,-86.76958119999999,Entire home/apt,,2,22,1.98,249,0.066,
1181170228739049387,"Central Location, 2 Kitchens!",2929457,District 21,36.1657928,-86.8142155,Entire home/apt,160.0,30,0,,226,0.5,1506.6666666666665
1181209396800787940,Centrally Located Townhome,2929457,District 21,36.16466,-86.8136,Entire home/apt,96.0,30,0,,228,0.5,912.0
1181214971607931434,Centrally Located Apartment,2929457,District 21,36.16698,-86.81374,Entire home/apt,85.0,30,1,0.09,197,0.003,4.18625
1181741343724986232,Casa Azul: King Beds|Close to Broadway|HOT Tub!,478827477,District 5,36.19458,-86.75807,Entire home/apt,187.0,2,5,0.44,315,0.014666666666666666,71.995
1181859807140839333,Stunning Getaway! Rooftop Deck! Great Location,488754413,District 21,36.16773,-86.81333,Entire home/apt,,1,11,1.05,321,0.035,
1181877889151914954,Boutique Hotel Vibes/3 Lux Kings/Heart of Downtown,584037173,District 17,36.14710823606507,-86.76579322984715,Entire home/apt,268.0,3,64,5.35,254,0.17833333333333332,1011.6255555555555
1181960871671479517,Kasa Capitol Hill | 1BD King Walkable to Broadway,88566861,District 19,36.1629474,-86.7833972,Entire home/apt,,1,21,1.81,298,0.060333333333333336,
1181963169961865882,Kasa Capitol Hill | 2BD Near Bridgestone & Ascend,88566861,District 19,36.1629474,-86.7833972,Entire home/apt,,1,82,7.21,295,0.24033333333333334,
1181968869477539513,"Kasa Capitol Hill | Spacious 3BD, Printers Alley",88566861,District 19,36.1629474,-86.7833972,Entire home/apt,,1,101,8.91,248,0.297,
1181971043957216151,"Kasa Capitol Hill | Downtown Studio, Walk Broadway",88566861,District 19,36.1629474,-86.7833972,Entire home/apt,304.0,1,330,28.29,301,0.943,7190.689333333333
1181973310460762820,Kasa Capitol Hill | Studio Near Ryman Auditorium,88566861,District 19,36.1629474,-86.7833972,Entire home/apt,,1,24,2.07,299,0.06899999999999999,
1181984580103965801,The Murphy - Sylvan Park,144891442,District 24,36.14152,-86.8252,Entire home/apt,60.0,30,2,0.19,58,0.006333333333333333,1.8366666666666667
1182026037168699307,TN Whiskey Getaway,579092159,District 28,36.07675789085517,-86.66530261852417,Entire home/apt,240.0,1,10,0.96,290,0.032,185.6
1182581223194374076,Cozy Tiny Home Near Lake,32580140,District 12,36.16116348344903,-86.59064204662039,Private room,54.0,30,0,,269,0.5,605.25
1182591766356546031,Nshvll30+DayDwnstrsSUITE:BedBathKtchnW/DPatioYard,291868278,District 15,36.23436,-86.69053,Entire home/apt,85.0,30,2,0.19,192,0.006333333333333333,8.613333333333333
1182596901146552546,New Downtown Luxury Huge Rooftop 10 Beds #3,440360756,District 21,36.16573,-86.82038,Entire home/apt,98.0,2,51,4.31,245,0.14366666666666666,287.4530555555556
1182610761426137149,"Riverfront, Downtown, Pool, King Bed !",55410380,District 19,36.172769,-86.780194,Entire home/apt,189.0,3,25,2.29,284,0.07633333333333334,341.439
1182626974221068762,Steps from Broadway – Perfect for Nightlife & Fun,372391022,District 19,36.15414,-86.77473,Entire home/apt,,2,26,2.34,218,0.078,
1182666649469972550,House of Peace-8 miles from Downtown with Jacuzzi,370190338,District 3,36.24146,-86.7971,Entire home/apt,310.0,3,23,2.03,294,0.06766666666666667,513.9283333333333
1182673390802928425,New! Chic 1BR w/pool in Lower Broadway,30283594,District 19,36.160595,-86.78005,Entire home/apt,,1,3,0.27,57,0.009000000000000001,
1182691537660100023,"Walk 2 Broadway, Free Parking + Rooftop Pool",584490422,District 19,36.15403,-86.77467,Entire home/apt,,1,52,4.57,48,0.15233333333333335,
1182787547429427207,Vinyl Villa at Mill Creek,294564346,District 15,36.1551388,-86.6995609,Entire home/apt,180.0,3,14,1.31,346,0.043666666666666666,226.63
1183198178527788531,Nashville Hideaway: Cozy Rm #1,84602591,District 31,36.00668,-86.64952,Private room,,1,1,0.08,0,0.0026666666666666666,
1183336232733554407,Music Row Haven | Modern Style + Private Hot Tub,101426897,District 17,36.14014,-86.7936,Entire home/apt,398.0,2,27,2.28,329,0.076,829.2993333333334
1183381996089373723,TN Whiskey Near Vandy/Centennial Park. Great Rates,425884247,District 21,36.14602,-86.81526,Entire home/apt,111.0,1,16,1.4,355,0.04666666666666666,153.24166666666665
1183394217154157219,"New Modern Townhome- 5 
Minutes from Broadway",584686529,District 2,36.1875339760585,-86.81228500078238,Entire home/apt,,2,23,2.06,313,0.06866666666666667,
1183403676864618052,Berry Hill Sunny Townhome!3 bd Spacious + Cozy!,420371928,District 26,36.097,-86.74521,Entire home/apt,,1,62,5.54,159,0.18466666666666667,
1183419901812352285,The Vinyl Vault - 6 Minutes from Broadway,85360355,District 21,36.18169,-86.80426,Entire home/apt,142.0,1,32,2.76,316,0.092,344.01866666666666
1183420167756057126,The Pink Royale - 6 Mins from Broadway,85360355,District 21,36.17977,-86.80448,Entire home/apt,163.0,1,35,3.21,271,0.107,393.8759166666666
1183429746281090832,Southern Charm Townhome in East!,545776783,District 5,36.20676,-86.76603,Entire home/apt,,7,1,0.1,269,0.0033333333333333335,
1184068169672808869,Walk to Broadway & Downtown | Pool & Gym,487830164,District 19,36.15469,-86.77458,Entire home/apt,,1,47,4.43,277,0.14766666666666667,
1184119621501225345,Charming Historic Ivy Hall Home in Prime Location!,70801117,District 7,36.2105482,-86.7206812,Entire home/apt,,2,3,0.28,288,0.009333333333333334,
1184152667203936005,NEW! 10min->Broadway! Southern Sweet Tea Waverly,385021064,District 17,36.12925,-86.77927,Entire home/apt,191.0,2,45,3.8,303,0.12666666666666665,610.8816666666665
1184188967898243168,The Aurora: Nashville Skyline Rooftop South Gulch,432149499,District 17,36.14431,-86.786,Entire home/apt,377.0,2,29,2.5,346,0.08333333333333333,905.8472222222222
1184189146609359648,Perfect CMA Fest Stay | Chic East Nash 1BR w views,170761270,District 6,36.17506,-86.75843,Entire home/apt,314.0,1,12,1.02,180,0.034,160.14000000000001
1184198985454997888,Spacious Room in Townhome,230648844,District 29,36.08834,-86.63027,Private room,90.0,30,0,,364,0.5,1365.0
1184393204262651012,Beautiful Downtown Nashville w/ pool & parking,584952085,District 19,36.15376670636414,-86.77535310387611,Entire home/apt,178.0,1,52,4.59,235,0.153,533.3325
1184867327983578432,Breathtaking Gorgeous Getaway,523452785,District 31,36.00179,-86.67085,Entire home/apt,278.0,31,0,,210,0.5,2432.5
